 освобождать  rid
 допускать  admit
 дорога  road
 дорогой  expensive
 доска  board
 доставлять  deliver
 достаточно  plenty
 достаточный  enough
 достигать  achieve
 достигать  reach
 доступный  available
 доход  income
 дочь  daughter
 драться  fight
 друг  friend
 другой  another
 другой  different
 другой  other
 дружелюбный  friendly
 думать  think
 дуть  blow
 дух  spirit
 душа  soul
 дым  smoke
 дыра  hole
 дыхание  breath
 дышать  breathe
 дюйм  inch
 дядя  uncle
 еда  food
 единственный  only
 единственный  singular
 ежедневный  daily
 ездить  ride
 ерунда  nonsense
 если  if
 если не  unless
 естественный  natural
 есть  eat
 ехать  drive
 еще  else
 еще  more
 еще  yet
 жалить  sting
 жаловаться  complain
 жалость  pity
 жар  fever
 ждать  expect
 ждать  wait
 желание  desire
 желать  wish
 железная дорога  railroad
 железо  iron
 желтый  yellow
 жена  wife
 женатый  married
 жениться  marry
 женщина  female
 женщина  woman
 жертва  victim
 жесткий  stiff
 жестокий  cruel
 жестокий  violent
 живой  alive
 живот  stomach
 животное  animal
 жидкость  liquid
 жизнь  life
 жир  fat
 жить  live
 жульничать  cheat
 журнал  magazine
 за  beyond
 за границей  abroad
 забавный  amusing
 забор  fence
 заботиться  care
 забывать  forget
 завершать  complete
 зависеть  depend
 завод  factory
 заворачивать  wrap
 завтра  tomorrow
 завтрак  breakfast
 завязывать  tie
 загружать  load
 задача  task
 задолжать  owe
 заканчивать  finish
 заключенный  prisoner
 закон  law
 закрывать  close
 закрывать(ся)  shut
 зал  hall
 заменять  replace
 замерзать  freeze
 заметка  note
 замечание  remark
 замечать  notice
 замок  castle
 занавес  curtain
 занятой  busy
 запад  west
 западный  western
 запах  smell
 запирать  lock
 запись  record
 заполнять  fill
 запрещать  forbid
 запястье  wrist
 зарабатывать  earn
 зарплата  salary
 заслуживать  deserve
 захватывающий  exciting
 защита  defence
 защита  protection
 защищать  defend
 защищать  protect
 заявление  statement
 звезда  star
 звучать  sound
 здание  building
 здесь  here
 здоровый  healthy
 здоровье  health
 зеленый  green
 земля  earth
 земля  ground
 земля  land
 зеркало  mirror
 зерно  grain
 зима  winter
 зло  evil
 змея  snake
 знак  mark
 знак  sign
 знакомый  familiar
 знание  knowledge
 знать  know
 значительный  significant
 золото  gold
 зрение  sight
 зуб  tooth
 и  and
 игла  needle
 игнорировать  ignore
 игра  game
 играть  play
 игрок  player
 игрушка  toy
 идеальный  perfect
 идея  idea
 идти  go
 идти  walk
 из расчета на  per
 избегать  avoid
 избирать  elect
 известный  famous
 извините  sorry
 извинять(ся)  excuse
 измерять  measure
 изображение  image
 изобретать  invent
 изучать  study
 или  either
 или  or
 иметь  have
 иметь в виду  mean
 иметь тенденцию  tend
 имя  name
 индивидуальный  individual
 индустрия  industry
 инженер  engineer
 иногда  sometimes
 иностранный  foreign
 инструкция  instruction
 инструмент  instrument
 инструмент  tool
 интеллектуальный  intelligent
 интерес  interest
 интересный  interesting
 инфекция  infection
 информация  information
 искать  seek
 искренний  sincere
 искусный  skillful
 искусственный  artificial
 искусство  art
 исполнение  performance
 исполнять  perform
 использовать  use
 исправлять  fix
 исследование  research
 исследовать  examine
 истинный  true
 история  history
 источник  source
 июль  July
 июнь  June
 к  toward
 каждый  each
 каждый  every
 каждый  everyone
 казаться  seem
 как  as
 как  how
 как бы ни  however
 как-то  somehow
 камень  rock
 камень  stone
 карандаш  pencil
 карман  pocket
 карта  card
 карта  map
 картина  painting
 картинка  picture
 картофель  potato
 кастрюля  pan
 катить(ся)  roll
 качать(ся)  swing
 качество  quality
 кашлять  cough
 квадрат  square
 квартира  apartment
 кепка  cap
 килограмм  kilogram
 километр  kilometer
 кино  movie
 кино  movie
 кипятить(ся)  boil
 кирпич  brick
 кислота  acid
 кислый  sour
 класс  class
 класс  grade
 класть  put
 клей  glue
 клерк  clerk
 клетка  cell
 клиент  customer
 клуб  club
 клюв  beak
 ключ  key
 клясться  swear
 книга  book
 кнопка  button
 когда  when
 когда бы ни  whenever
 кого  whom
 кое-что  something
 кожа  leather
 кожа  skin
 колено  knee
 колесо  wheel
 количество  amount
 количество  quantity
 колледж  college
 коллекция  collection
 колокол  bell
 кольцо  ring
 команда  command
 команда  team
 комбинация  combination
 коммуникация  communication
 комната  room
 компания  company
 компьютер  computer
 комфорт  comfort
 конверт  envelope
 конец  end
 конечно  sure
 конкретный  particular
 конкретный  specific
 контейнер  container
 контракт  contract
 контроль  control
 конфета  candy
 концерт  concert
 копать  dig
 копировать  copy
 корабль  ship
 корень  root
 корзина  basket
 коричневый  brown
 кормить(ся)  feed
 коробка  box
 корова  cow
 королева  queen
 королевский  royal
 король  king
 короткий  short
 кость  bone
 костюм  suit
 который  which
 кофе  coffee
 кошка  cat
 край  edge
 крайний  extreme
 красивый  beautiful
 краска  paint
 красный  red
 красота  beauty
 крах  crash
 крем  cream
 кривая  curve
 критиковать  criticize
 кричать  shout
 кровать  bed
 кровь  blood
 кроме  except
 круг  circle
 круглый  round
 крутить  twist
 крутить(ся)  spin
 крутой  steep
 крыло  wing
 крыша  roof
 крышка  lid
 кто  who
 кто-то  somebody
 кто-то  someone
 кубок  bowl
 культура  culture
 курица  chicken
 курс  course
 кусать  bite
 куст  bush
 кухня  kitchen
 куча  pile
 лагерь  camp
 лампа  lamp
 левый  left
 легальный  legal
 легкий  easy
 легкое  lung
 лед  ice
 леди  lady
 лежать  lie
 лезвие  blade
 лекарство  drug
 ленивый  lazy
 лес  forest
 летать  fly
 лето  summer
 лечение  treatment
 лечить  cure
 ли  whether
 лидер  leader
 линия  line
 лист  leaf
 лист  sheet
 литература  literature
 литр  liter
 лить(ся)  pour
 лицо  face
 личный  personal
 ловушка  trap
 лодка  boat
 ложка  spoon
 ложный  false
 локон  curl
 локоть  elbow
 ломать  break
 лошадь  horse
 лояльный  loyal
 лук  onion
 луна  moon
 луч  beam
 лучший  better
 любимый  favorite
 любить  like
 любовь  love
 любой  anybody
 любой  anyone
 люди  people
 магазин  shop
 магия  magic
 май  May
 маленький  little
 маленький  small
 мальчик  boy
 март  March
 масло  butter
 масло  oil
 масса  mass
 математика  mathematics
 материал  material
 мать  mother
 машина  machine
 мебель  furniture
 медицина  medicine
 медицинский  medical
 медленный  slow
 медлить  delay
 медсестра  nurse
 между  among
 между  between
 международный  international
 мелодия  tune
 менеджер  manager
 менее всего  least
 меньше  less
 менять  change
 мертвый  dead
 мести  sweep
 местный  local
 место  place
 месяц  month
 металл  metal
 метр  meter
 мех  fur
 мечта  dream
 миллион  million
 миля  mile
 минерал  mineral
 министр  minister
 минута  minute
 мир  peace
 мир  world
 мирный  peaceful
 мнение  opinion
 многие  many
 много  lot
 множественный  plural
 могила  grave
 мода  fashion
 модель  model
 модный  fashionable
 может быть  maybe
 может быть  perhaps
 мозг  brain
 мокрый  wet
 молитва  prayer
 молить(ся)  pray
 молоко  milk
 молот(ок)  hammer
 момент  moment
 монета  coin
 моральный  moral
 море  sea
 мост  bridge
 мотор  motor
 мочь  can
 мощный  powerful
 мощь  might
 мудрый  wise
 муж  husband
 мужчина  male
 мужчина  man
 музыка  music
 музыкант  musician
 мы  we
 мыло  soap
 мысль  thought
 мыть(ся)  wash
 мышца  muscle
 мышь  mouse
 мягкий  soft
 мясо  meat
 мяч  ball
 на  on
 на  onto
 на  upon
 на самом деле  actually
 наверху  upstairs
 награда  reward
 надеяться  hope
 нажимать  press
 назад  back
 название  title
 наиболее  most
 наихудший  worst
 наказание  punishment
 наказывать  punish
 налог  tax
 намереваться  intend
 намерение  intention
 нанимать  employ
 наносить поражение  defeat
 напоминать  remind
 направление  direction
 напряженный  tense
 наречие  adverb
 народ  nation
 наружный  outdoor
 насекомое  insect
 население  population
 насилие  violence
 наслаждаться  enjoy
 насос  pump
 настоящее время  present
 настроение  mood
 насчет  about
 наука  science
 научный  scientific
 находить  find
 национальный  national
 начало  beginning
 начало  origin
 начало  start
 начинать  begin
 не  not
 небеса  heaven
 небо  sky
 недавний  recent
 недавно  recently
 неделя  week
 нежный  gentle
 независимый  independent
 незнакомец  stranger
 незначительный  slight
 некоторое количество  some
 неловкий  awkward
 немедленно  immediately
 немедленный  immediate
 немного  few
 ненавидеть  hate
 необходимый  necessary
 неправильный  wrong
 непрерывный  continuous
 нерв  nerve
 нервный  nervous
 несколько  several
 несмотря на  despite
 нести  carry
 нет  no
 нехватка  lack
 ни  nor
 ни один  neither
 нигде  nowhere
 ниже  below
 низ  bottom
 низкий  low
 никогда  never
 никто  nobody
 никто  none
 нить  thread
 ничто  nothing
 но  but
 новости  news
 новый  new
 нога  leg
 нож  knife
 ножницы  scissors
 ноль  zero
 нормальный  normal
 нос  nose
 носить  bear
 носить  wear
 носок  sock
 ночь  night
 ноябрь  November
 нуждаться  need
 оба  both
 обвинять  blame
 обед  dinner
 обезьяна  monkey
 обещание  promise
 облако  cloud
 обмен  exchange
 оборудование  equipment
 образец  pattern
 образование  education
 образует будущее время  shall
 образует будущее время  will
 обслуживание  service
 обсуждать  discuss
 обусловленный  due
 общественный  public
 общественный  social
 общество  society
 общий  common
 общий  general
 объединять(ся)  unite
 объект  object
 объявлять  announce
 объяснение  explanation
 объяснять  explain
 обычно  generally
 обычно  usually
 обычный  ordinary
 обычный  usual
 овощ  vegetable
 овца  sheep
 огонь  fire
 огорчать  upset
 ограничивать  limit
 ограничивать  restrict
 огромный  great
 огромный  huge
 одежда  clothes
 одежда  clothing
 один  one
 один  single
 одиннадцать  eleven
 одинокий  alone
 одинокий  lonely
 одобрение  approval
 одобрять  approve
 одолжение  favor
 озеро  lake
 океан  ocean
 окно  window
 окружать  surround
 окружающая среда  environment
 октябрь  October
 он  he
 она  she
 они  they
 опасность  danger
 опасный  dangerous
 операция  operation
 описание  description
 описывать  describe
 оплата  payment
 оппозиция  opposition
 оппонент  opponent
 определенный  certain
 определенный артикль  the
 определять  determine
 опрятный  neat
 опыт  experience
 опять  again
 орган  organ
 организация  organization
 организовывать  arrange
 организовывать  organize
 орех  nut
 оригинальный  original
 оружие  weapon
 осень  autumn
 оскорбительный  offensive
 оскорбление  insult
 оскорблять  offend
 основа  base
 основной  major
 особенно  especially
 особенность  feature
 оставаться в каком-л. состоянии  remain
 останавливаться  stay
 остановка  stop
 осторожный  careful
 остров  island
 острый  sharp
 от  from
 ответ  answer
 ответ  reply
 ответ  response
 ответственный  responsible
 отвратительный  disgusting
 отдел  department
 отдельно  apart
 отдельный  separate
 отдых  rest
 отель  hotel
 отец  father
 отказ  refusal
 отказывать(ся)  refuse
 открывать  discover
 открытие  discovery
 открытый  open
 отличный  excellent
 относительно  concerning
 относиться  treat
 отношение  attitude
 отпуск  vacation
 отражать  reflect
 отрицательный  negative
 отсутствие  absence
 отсутствующий  absent
 офис  office
 офицер  officer
 официальный  official
 охотиться  hunt
 охрана  guard
 очень  very
 ошибка  mistake
 падать  fall
 пакет  package
 палатка  tent
 палец  finger
 палец ноги  toe
 пальто  coat
 память  memory
 пар  steam
 пара  pair
 параллельный  parallel
 парк  park
 партия  party
 партнер  partner
 пассажир  passenger
 пауза  pause
 переводить  translate
 передвигать  move
 передний  front
 передовой  advanced
 пересекать  cross
 перец  pepper
 период  period
 перо  feather
 песня  song
 песок  sand
 петь  sing
 печать  print
 печенье  cookie
 печь  bake
 пианино  piano
 пиво  beer
 пилот  pilot
 пинать  kick
 писатель  writer
 писать  write
 пистолет  gun
 письменный стол  desk
 письмо  letter
 пить  drink
 плавать  swim
 плавать (под парусом)  sail
 плавить(ся)  melt
 плакать  cry
 пламя  flame
 план  plan
 пластик  plastic
 плата  charge
 платить  pay
 платье  dress
 плечо  shoulder
 плоский  flat
 плохой  bad
 плыть на поверхности  float
 пляж  beach
 побег  escape
 победа  victory
 победить  win
 побережье  coast
 поведение  behavior
 поверхность  surface
 повиноваться  obey
 поворачивать  turn
 повреждение  damage
 повторять  repeat
 повышать  raise
 погода  weather
 под  beneath
 под  under
 подарок  gift
 подбородок  chin
 подготовка  preparation
 подготовка  training
 поддержка  support
 поднимать(ся)  lift
 подниматься  rise
 подходить  fit
 подходящий  appropriate
 подходящий  suitable
 подчеркивать  emphasize
 поезд  train
 поездка  trip
 пожалуйста  please
 позволить себе  afford
 позволять  allow
 позволять  let
 поздний  late
 позитивный  positive
 позор  shame
 поиск  search
 поймать  catch
 пока  bye
 пока  while
 показатель чего-л.  rate
 показывать  show
 показываться  appear
 покидать  leave
 покрывать  cover
 покупать  buy
 пол  floor
 полагать  suppose
 поле  field
 полезный  helpful
 полезный  useful
 полет  flight
 полировать  polish
 политик  politician
 политика  politics
 политический  political
 полиция  police
 полка  shelf
 полный  full
 половина  half
 положение  position
 получать  gain
 получать  obtain
 получать  receive
 получить  get
 польза  benefit
 помнить  remember
 помощь  help
 понедельник  Monday
 понимать  understand
 поощрять  encourage
 поперек  across
 по-прежнему  still
 популярный  popular
 попытка  attempt
 порошок  powder
 порт  port
 портить(ся)  spoil
 порядок  order
 посещать  attend
 посещать  visit
 после  after
 после полудня  afternoon
 последний  last
 поставка  supply
 постепенный  gradual
 постоянный  permanent
 посылать  send
 потеря  loss
 поток  flow
 поток  stream
 потолок  ceiling
 потому что  because
 похвала  praise
 похожий  similar
 похороны  funeral
 поцелуй  kiss
 почва  soil
 почему  why
 почта  mail
 почта  post
 почти  almost
 поэзия  poetry
 поэтому  therefore
 правда  truth
 правило  rule
 правильный  correct
 правитель  ruler
 правонарушение  offense
 правый  right
 праздник  holiday
 праздновать  celebrate
 практика  practice
 практичный  practical
 предлагать  offer
 предлагать  suggest
 предложение  proposal
 предложение  sentence
 предотвращать  prevent
 предпочитать  prefer
 представитель  representative
 представлять  introduce
 представлять  represent
 предупреждать  warn
 предупреждение  warning
 предыдущий  previous
 президент  president
 преимущество  advantage
 прекрасно  fine
 прерывать  interrupt
 преступление  crime
 преступный  criminal
 преуспевать  succeed
 прибавлять  add
 прибывать  arrive
 прибыль  profit
 прибытие  arrival
 привет  hello
 привет  hi
 привлекательный  attractive
 привлекать  attract
 привычка  habit
 приглашать  invite
 приглашение  invitation
 прием  method
 приз  prize
 прикасаться  touch
 приклеивать(ся)  stick
 приключение  adventure
 прикреплять attach
 прилагательное  adjective
 пример  example
 принадлежать  belong
 принимать  accept
 приносить  bring
 принц  prince
 принцип  principle
 принятие пищи  meal
 природа  nature
 пристыженный  ashamed
 притворяться  pretend
 приходить  come
 причина  cause
 причина  reason
 приют  shelter
 приятный  pleasant
 проблема  issue
 проблема  problem
 провал  failure
 проверять  check
 провод  wire
 программа  program
 прогресс  progress
 продавать  sell
 продажа  sale
 продолжать  continue
 продукт  product
 производить  produce
 производство  production
 произносить  pronounce
 произносить по буквам  spell
 произношение  pronunciation
 проснуться  wake
 простой  simple
 пространственные значения  to
 пространство  area
 пространство  space
 просыпаться  awake
 просьба  request
 протест  protest
 против  against
 противоположный  opposite
 профессиональный  professional
 профессия  profession
 прохладный  cool
 проход  passage
 проходить  pass
 процесс  process
 прошлое  past
 прощать  forgive
 прыгать  jump
 прямой  direct
 прямой  straight
 психический  mental
 птица  bird
 пугающий  frightening
 пуля  bullet
 пустой  empty
 пустыня  desert
 путать  confuse
 путеводитель  guide
 путешествовать  travel
 путь  path
 путь  way
 пыль  dust
 пытаться  try
 пьяный  drunk
 пятка  heel
 пятнадцать  fifteen
 пятница  Friday
 пятно  spot
 пять  five
 пятьдесят  fifty
 работа  job
 работа  work
 работать  operate
 рабочий  worker
 равнина  plain
 равный  equal
 радио  radio
 раз  once
 развивать  develop
 развлекать  amuse
 развлекать  entertain
 разговор  conversation
 раздражать  annoy
 различный  various
 размер  size
 разница  difference
 разнообразие  variety
 разочаровывать  disappoint
 разрешение  permission
 разрушать  ruin
 разум  mind
 разумный  reasonable
 разумный  sensible
 раковина  shell
 рамка  frame
 рана  wound
 ранг  rank
 ранее  previously
 ранить  injure
 ранний  early
 распознавать  recognize
 распространять(ся)  spread
 распускать  dismiss
 распухать  swell
 рассеивать(ся)  scatter
 рассказ  story
 расслаблять(ся)  relax
 рассматривать  consider
 расстегивать  undo
 растение  plant
 расти  grow
 растрачивать  waste
 расщеплять(ся)  split
 рвать(ся)  tear
 реагировать  react
 реакция  reaction
 реализовать  realize
 реальный  real
 ребенок  baby
 ребенок  child
 ребенок  kid
 регион  region
 регулярный  regular
 редкий  rare
 резать  cut
 резина  rubber
 результат  result
 река  river
 реклама  advertisement
 рекомендовать  recommend
 религиозный  religious
 религия  religion
 ремень  belt
 ремонтировать  repair
 ресторан  restaurant
 речь  speech
 решать  decide
 решать  solve
 решение  decision
 решение  solution
 решительность  determination
 рис  rice
 риск  risk
 рисовать  draw
 рог  horn
 родитель  parent
 родственник  relative
 рождение  birth
 розовый  pink
 роль  role
 романтический  romantic
 ронять  drop
 рост  growth
 рот  mouth
 рубашка  shirt
 рука  arm
 рука  hand
 ручка  handle
 ручка  pen
 рыба  fish
 рынок  market
 ряд  row
 ряд  series
 рядом с  beside
 с  since
 с  with
 с.-х. культура  crop
 сад  garden
 сам  himself
 сам  itself
 сам  myself
 сами  themselves
 самое лучшее  best
 самолет  airplane
 самолет  plane
 сантиметр  centimeter
 сахар  sugar
 свадьба  wedding
 свежий  fresh
 светить  light
 светить(ся)  shine
 свинья  pig
 свобода  freedom
 свободный  free
 свой  own
 связанные  related
 связка  bunch
 связь  connection
 связь  relation
 священник  priest
 священный  holy
 сгибать  bend
 себя  herself
 себя  ourselves
 себя  yourself
 север  north
 северный  northern
 сегодня  today
 сегодня вечером  tonight
 сезон  season
 сейчас  now
 секрет  secret
 секретарь  secretary
 секс  sex
 сексуальный  sexual
 секунда  second
 семнадцать  seventeen
 семь  seven
 семьдесят  seventy
 семья  family
 семя  seed
 сентябрь  September
 сердитый  angry
 сердце  heart
 серебро  silver
 середина  middle
 серый  gray
 серьезно  seriously
 серьезный  serious
 сестра  sister
 сеть  net
 сеть  network
 сеть  web
 сзади  behind
 сигарета  cigarette
 сигнал  signal
 сиденье  seat
 сидеть  sit
 сила  force
 сила  power
 сила  strength
 сильный  strong
 симпатичный  pretty
 симпатия  sympathy
 синий  blue
 система  system
 ситуация  situation
 скверно  badly
 складывать  fold
 склон  slope
 скользить  slide
 скользить  slip
 сколько-нибудь  any
 скорее  rather
 скоро  soon
 скорость  speed
 скрывать(ся)  hide
 скучать  miss
 скучный  boring
 слабый  weak
 сладкий  sweet
 следить  track
 следовать  follow
 следующий  next
 слепой  blind
 слишком  too
 словарь  dictionary
 слово  word
 сложный  complicated
 слой  layer
 слуга  servant
 служить  serve
 случай  case
 случай  occasion
 случаться  happen
 слушать  listen
 слышать  hear
 смерть  death
 смесь  mixture
 сметь  dare
 смешивать(ся)  mix
 смешной  funny
 смеяться  laugh
 СМИ  media
 смотреть  look
 смотреть  watch
 смущать  embarrass
 смысл  meaning
 снабжать  provide
 снег  snow
 снижать  decrease
 собака  dog
 собирать  collect
 собирать  pick
 собирать(ся)  gather
 собрание  meeting
 собственность  property
 событие  event
 совершенно  completely
 совесть  conscience
 совет  advice
 советовать  advise
 современный  modern
 согласно  according
 соглашаться  agree
 соглашение  agreement
 соглашение  arrangement
 содержать  contain
 соединять  connect
 соединять  join
 создавать  create
 сознательный  conscious
 сок  juice
 сокращение  reduction
 солдат  soldier
 солнечный  shiny
 солнце  sun
 соль  salt
 сомнение  doubt
 сообщать  communicate
 сообщение  message
 сообщить  inform
 соответствовать  match
 соотносить(ся)  relate
 соревнование  competition
 соревноваться  compete
 сорок  forty
 сосать  suck
 состояние  condition
 состояние  state
 состоять  consist
 сотрудник  employee
 сохранять  preserve
 сохранять  save
 сочетать(ся)  combine
 сочувствующий  sympathetic
 союз  union
 спасибо  thanks
 спать  sleep
 специальный  special
 спешка  hurry
 список  list
 спокойный  calm
 спорить  argue
 спорт  sport
 способность  ability
 способный  able
 справедливость  justice
 спрашивать  ask
 спящий  asleep
 сравнивать  compare
 среда  Wednesday
 средний  average
 средство  means
 срок  term
 срочный  urgent
 ссора  quarrel
 ставить  set
 сталь  steel
 стандартный  standard
 становиться  become
 станция  station
 старый  old
 статья  article
 стекло  glass
 стена  wall
 степень  degree
 стеснительный  shy
 стиль  style
 стихотворение  poem
 сто  hundred
 стоить  cost
 стол  table
 столб  pole
 столица  capital
 сторона  side
 стоять  stand
 стоящий  worth
 страдать  suffer
 страна  country
 страница  page
 странный  odd
 странный  strange
 стратегия  strategy
 страх  fear
 страхование  insurance
 стрелять  shoot
 строгий  strict
 строить  build
 структура  structure
 струна  string
 студент  student
 стул  chair
 ступенька  stair
 ступня  foot
 стучать(ся)  knock
 суббота  Saturday
 суд  court
 суд  trial
 судить  judge
 суждение  judgment
 сумасшедший  crazy
 сумка  bag
 сумма  sum
 суп  soup
 суровый  severe
 сухой  dry
 существительное  noun
 существо  creature
 существование  existence
 существовать  exist
 сцена  scene
 счастливый  happy
 счет  account
 считать  count
 сын  son
 сыр  cheese
 сырой  raw
 сюрприз  surprise
 табак  tobacco
 таинственный  mysterious
 тайна  mystery
 так  so
 также  also
 таким образом  thus
 такой  such
 такси  taxi
 талия  waist
 там  there
 танцевать  dance
 тарелка  plate
 твердый  firm
 твердый  solid
 театр  theater
 текущий  current
 телевидение  television
 телевидение  TV
 телефон  phone
 телефон  telephone
 тело  body
 тема  subject
 темный  dark
 температура  temperature
 тенденция  tendency
 теннис  tennis
 тень  shade
 тень  shadow
 тепло  heat
 тепло  warmth
 теплый  warm
 тереть(ся)  rub
 терпеливый  patient
 терпение  patience
 терпеть неудачу  fail
 терять  lose
